SUPPLIER,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
E & J GALLO WINERY,166170.53,165021.82,197463.78
DIAGEO NORTH AMERICA INC,145343.2,144013.71,170564.63
CONSTELLATION BRANDS,131664.79,129761.8,119399.51
ANHEUSER BUSCH INC,109960.81999999999,108231.02,1331170.84
JIM BEAM BRANDS CO,96164.04,95229.37,7942.81
MILLER BREWING COMPANY,87156.44,85223.79,1425428.71
CROWN IMPORTS,84437.66,82832.76,1651871.51
SAZERAC CO,70414.62,68983.37,16916.29
BACARDI USA INC,66610.23,65792.13,9999.07
THE WINE GROUP,64270.04,63855.03,72191.57
