SUPPLIER,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
E & J GALLO WINERY,166170.53,165021.82,197463.78
DIAGEO NORTH AMERICA INC,145343.2,144013.71,170564.63
CONSTELLATION BRANDS,131664.79,129761.8,119399.51
ANHEUSER BUSCH INC,109960.81999999999,108231.02,1331170.84
JIM BEAM BRANDS CO,96164.04,95229.37,7942.81
MILLER BREWING COMPANY,87156.44,85223.79,1425428.71
CROWN IMPORTS,84437.66,82832.76,1651871.51
SAZERAC CO,70414.62,68983.37,16916.29
BACARDI USA INC,66610.23,65792.13,9999.07
THE WINE GROUP,64270.04,63855.03,72191.57
PERNOD RICARD USA LLC,57788.88,57150.99,10502.27
HEINEKEN USA,56139.91,54860.42,829796.46
HEAVEN HILL DISTILLERIES INC,54245.36,54491.340000000004,7707.18
BROWN-FORMAN BEVERAGES WORLDWIDE,50889.69,50205.84,12943.61
FIFTH GENERATION INC,42628.73,43201.72,7018.59
BOSTON BEER CORPORATION,40129.13,40103.21,191592.89
DELICATO FAMILY VINEYARDS,37781.29,38820.06,23413.55
DEUTSCH FAMILY WINE & SPIRITS,36551.71,36700.07,35718.8
TREASURY WINE ESTATES AMERICAS COMPANY,35989.46,34865.19,32234.2
PROXIMO SPIRITS INC,32362.88,32082.0,1487.82
SOUTHERN GLAZERS WINE AND SPIRITS,31795.38,31689.57,41458.31
WILLIAM GRANT AND SONS INC,29253.9,29000.26,2090.5
JACKSON FAMILY ENTERPRISES INC,28759.5,28818.64,31762.86
SUTTER HOME WINERY INC,27378.51,27178.63,63337.73
FLYING DOG BREWERY LLLP,26358.55,26001.38,128292.49
CAMPARI AMERICA LLC,26257.53,26094.89,2384.75
REPUBLIC NATIONAL DISTRIBUTING CO,25636.11,24241.02,66486.1
MOET HENNESSY USA,24022.87,23637.53,6957.92
YUENGLING BREWERY,23027.7,22402.13,134147.86
STE MICHELLE WINE ESTATES,19489.079999999998,19306.22,16313.97
RELIABLE CHURCHILL LLLP,19285.19,17936.03,16256.68
FETZER VINEYARDS,13858.37,13757.0,18790.7
SIERRA NEVADA BREWING CO,11373.72,11239.46,64170.64
MARK ANTHONY BRANDS INC,10531.31,11327.0,65788.9
PABST BREWING CO,9980.1,9931.71,114172.12
DOGFISH HEAD CRAFT BREWERY LLC,9747.54,9911.58,38835.54
NEW BELGIUM BREWING INC,9486.03,9312.17,33851.07
REMY COINTREAU USA,9485.9,9389.98,764.84
A VINTNERS SELECTIONS,9482.87,8238.29,35241.97
LEGENDS LTD,9284.19,9308.18,98116.93
CASTLE BRANDS USA CORP,9275.25,9170.73,2867.92
BUCK DISTRIBUTING COMPANY INC,9133.57,9063.71,41485.81
BACCHUS IMPORTERS LTD,8859.6,8225.07,19291.75
BANFI PRODUCTS CORP,8514.13,8165.8,5569.25
PALM BAY IMPORTS,8339.26,8147.75,10210.35
FRANCIS COPPOLA WINERY LLC,7914.94,8112.41,4198.78
EXCELSIOR WINE COMPANY LLC,7276.12,7402.34,9658.05
LAPHAM SALES & MARKETING DBA LAPHAM,7171.7,7218.6,6315.43
KOBRAND CORPORATION,7171.05,6928.83,3607.59
AMERICAN BEVERAGE MARKETERS,6677.32,6667.43,1085.0
KYSELA PERE ET FILS LTD,6520.59,6327.18,15557.58
LUXCO SPIRITED BRANDS,6285.24,5882.5,943.17
"THE COUNTRY VINTNER, LLC DBA WINEBOW",6079.9,5875.89,41822.17
J LOHR WINERY,6076.41,6085.42,3761.33
CLIPPER CITY BREWING CO,6057.68,6138.83,23332.8
THE EDRINGTON GROUP USA LLC,5781.33,5825.91,167.84
DC BRAU BREWING LLC,5768.81,5767.84,21398.6
DOGFISH HEAD CRAFT BREWERY,5724.15,5811.46,25820.24
MHW LTD,5691.73,6085.51,7148.59
STOLI GROUP (USA) LLC,5402.58,5277.75,531.5
LUNEAU USA INC,5242.69,5244.09,6852.95
PRESTIGE BEVERAGE GROUP OF MD LLC,4983.01,5060.92,7596.78
CONSTANTINE WINES INC,4869.84,4599.68,21597.84
LABATT USA OPERATING CO LLC,4831.65,4834.5,19894.58
BARON FRANCOIS LTD,4807.77,4519.07,3956.77
MONSIEUR TOUTON SELECTION,4774.68,4542.7,24205.45
UNITED STATES DISTILLED PRODUCTS,4613.88,4339.09,1747.41
FREIXENET USA,4312.82,4055.0,3154.84
ROYAL WINE CORP,4273.64,4042.91,10779.47
NEW PARROTT & CO,3564.16,3418.8,1178.0
JACK POUST & COMPANY INC,3513.53,3280.97,1065.82
YOUNG WON TRADING INC,3389.14,3310.79,7090.95
SURVILLE ENTERPRISES CORP,3298.91,3276.7,2755.59
TRI-VIN IMPORTS,3253.81,3158.64,8967.74
KLEIN FAMILY VINTNERS,3169.71,3146.28,854.92
Default,2899.04,2649.08,0.0
DUCKHORN WINE COMPANY,2883.45,3004.93,2452.92
DELMAR BREWING COMPANY LLC,2850.0,2960.25,16048.67
PATERNO IMPORTS LTD,2706.95,2468.63,1773.84
QUINTESSENTIAL LLC,2658.61,2623.42,3212.19
OPICI FAMILY DISTRIBUTING OF MD,2646.58,2574.82,14314.11
EASTERN LIQUOR DISTRIBUTORS INC,2336.77,2361.28,2134.62
MAST-JAEGERMEISTER US INC,2266.67,2222.06,369.0
MONTEBELLO BRANDS INC,2219.93,2222.34,113.0
DUGGANS DISTILLERS PROD,2022.96,1893.53,438.58
DOPS INC,1984.32,1926.58,16274.96
SANTA MARGHERITA USA INC,1965.4,1892.59,1533.92
DMV DISTRIBUTING LLC,1849.15,1913.87,6621.2
GAMBRINUS,1789.2,1802.75,8140.17
NORTH LOCK LLC DBA PORT CITY BREWING CO,1777.76,1816.0,5289.25
C MONDAVI & SONS,1762.49,1662.64,2195.32
SCHMITT SOHNE INC,1721.84,1646.76,1160.92
FREIXENET MIONETTO USA INC,1653.57,1582.26,1375.0
ST KILLIAN IMPORTING CO INC,1629.41,1631.96,4916.79
PARK STREET IMPORTS LLC,1607.24,1867.43,279.75
DISARONNO INTERNATIONAL LLC,1545.01,1573.16,68.0
TROEGS BREWING COMPANY,1515.91,1449.0,5055.25
PRESTIGE WINE IMPORTS,1458.95,1444.94,1142.49
SAN ANTONIO WINERY INC,1426.5,1536.35,1203.0
KATCEF BROTHERS INC,1334.0,1413.0,8850.29
DIONYSOS IMPORTS INC,1315.37,1218.2,12059.41
MASS BAY BREWING CO,1303.84,1318.0,5724.25
FREDERICK WILDMAN & SONS,1244.72,1203.33,1403.83
HOME BREW MART INC,1215.97,1222.0,4094.21
WARSTEINER IMPORTERS,1189.08,1155.0,3761.0
INFINIUM SPIRITS INC,1172.36,1237.66,49.0
WESTERN SPIRITS BEVERAGE COMPANY LLC,1162.73,1012.1,14.0
THE HESS COLLECTION,1157.44,1133.42,1123.75
BRONCO WINE COMPANY,1151.35,874.43,2253.91
THE BROOKLYN BREWERY CORPORATION,1149.19,1149.75,3775.96
AREL GROUP WINE & SPIRITS,1099.94,1028.58,2200.59
ONE TRUE VINE,1096.19,1129.44,871.92
RUSSIAN STANDARD VODKA (USA) INC,1096.07,1082.34,39.0
GRAPES OF SPAIN INC,1016.74,921.22,9629.94
FOLEY FAMILY WINES INC,1013.85,945.42,494.0
VINTAGE WINE ESTATES INC,969.72,777.01,722.0
VICTORY BREWING COMPANY LLC,960.83,898.0,6479.71
SLIGO MILL BREWING LLC,876.39,519.75,6.0
WELL OILED WINE COMPANY LLC,867.89,851.92,1140.84
NICHE IMPORTERS,847.42,862.12,495.5
CHEVAL QUANCARD,839.23,624.28,13.0
AMERICAN BEVERAGE CORPORATION,830.3,733.46,397.33
STEFANO INCORPORATED,827.57,881.44,337.83
SAGAMORE WHISKEY LLC,813.85,1005.0,90.0
KING ESTATE WINERY,811.59,814.6800000000001,529.0
SERRALLES USA LLC,788.0,757.15,119.0
PWSWN INC,775.98,815.24,11586.19
CHARLES JACQUIN ET CIE INC,752.14,975.92,0.0
ALLAGASH BREWING COMPANY,751.34,745.0,5664.54
SINGHA NORTH AMERICA INC,727.06,726.0,3499.3
DON SEBASTIANI & SONS,715.37,623.52,966.75
ATLAS BREW WORKS LLC,701.63,704.5,4103.17
COASTAL BREWING COMPANY LLC,701.44,707.0,6189.0
CITIZENS BREWING LLC,692.95,831.75,0.0
DESCHUTES BREWERY INC,688.81,689.0,2018.5
JOS VICTORI WINES,686.62,647.26,3554.29
COPPER CANE LLC,662.48,630.51,807.0
CABERNET CORPORATION,660.84,645.85,2344.43
ELITE WINES IMPORTS,609.28,569.29,10300.61
BOLD ROCK PARTNERS LP,602.91,576.0,2923.83
THREE STARS BREWING COMPANY LLC,601.75,578.75,6473.2
LANTERNA DISTRIBUTORS INC,595.21,538.44,9937.12
INTERBALT PRODUCTS CORP,577.2,472.27,6953.06
DUCLAW BREWERY LLC,572.42,585.75,1849.0
TERRAPIN BEER COMPANY,557.99,545.5,1654.25
ASAHI BEER USA INC,540.37,523.0,3952.17
CRAFT WINE & SPIRITS OF MARYLAND LLC,515.95,391.83,206.0
SWEETWATER BREWING COMPANY LLC,509.77,500.0,1926.25
FERRARI CARANO WINERY,492.05,445.51,345.0
MACCHU PISCO LLC,484.08,454.99,451.0
HOTALING & CO LLC,476.1,553.0,23.0
PUNTO VINO LLC,469.86,485.36,12714.77
GLOBAL OCEAN AND AIR CARGO SERVICES,458.89,443.49,2188.76
VIGNOBLES LVDH USA INC,457.02,417.76,1905.59
WI INC,433.0,446.58,1248.76
WILSON DANIELS LTD,431.52,378.74,20.0
WAGNER WINE COMPANY LLC,428.98,391.42,545.92
ROOTS RUN DEEP LLC,422.19,429.26,439.92
VIN DIVINO LTD,413.2,451.17,86.0
MICHAEL R DOWNEY SELECTIONS INC,358.13,357.02,1534.24
TREFETHEN VINEYARDS,331.09,312.19,71.0
TRUE RESPITE BREWING COMPANY LLC,331.06,78.0,0.0
BOORDY VINEYARDS,327.57,268.68,173.92
LAIRD AND COMPANY,322.68,326.83,85.0
BANVILLE & JONES WINE MERCHANTS,321.05,372.84,3260.0
VERMONT HARD CIDER COMPANY LLC,314.71,309.0,2934.5
MADIDUS LLC,297.68,345.0,183.92000000000002
STARR HILL BREWERY LLC,288.07,293.0,2273.75
DUVEL MOORTGAT USA LTD,287.37,275.0,1891.79
O'NEILL BEVERAGES CO LLC,286.96,474.0,722.84
PHILLIPS FARMS LLC,286.17,279.0,336.76
WINE BRIDGE IMPORTS INC,286.1,265.52,993.67
FRUIT OF THE VINES INC,274.18,243.78,29.0
ELK RUN VINEYARDS,270.76,210.49,210.67
POTOMAC SELECTIONS INC,260.2,268.0,409.0
HONIG VINEYARD AND WINERY,254.97,261.34,455.0
PIPE CREEK WINES LLC,253.10999999999999,317.25,675.92
BULLSHINE DISTILLERY LLC,233.16,223.83,1.0
CELICAR LLC DBA TWIN VALLEY DISTILLERS,210.85,95.83,1.0
FILIBUSTER BARRELS LLC,197.94,233.33,16.0
FRONT PORCH MICRO WINERY LLC,190.72,196.84,26.0
TRICANA SHIPPERS & IMPORT,180.45,136.52,490.33
PARALLEL WORLD BREWING COMPANY,176.78,0.0,0.0
ST SUPERY INC,175.38,180.92,105.0
JOHN GIVEN WINES INC,174.9,131.92,177.0
LION NATHAN USA INC,174.20000000000002,179.0,133.0
GRAPES & BARLEY LLC,166.55,135.67,2362.42
UNITED STATES BEVERAGE,164.24,156.0,743.75
SOKOL BLOSSER LTD,162.7,110.0,38.0
DRAGON DISTILLERY LLC,161.4,26.67,0.0
BROOKEVILLE BREWING LLC,149.77,0.0,0.0
JORDAN VINEYARD,145.37,144.42,164.0
FX MATT BREWING CO,141.25,126.0,204.0
THE TRITON COLLECTION INC,135.29,111.68,1550.02
STELLAR IMPORTING CO LLC,132.55,122.0,14.0
E M D SALES INC,128.82,99.17,1357.83
FREDERICK P WINNER LTD,125.23,120.0,355.96
SIDNEY-FRANK IMPORTING CO,123.25,210.96,24.0
NEGUS BREWING COMPANY LLC,122.63,133.0,814.75
ARTISANS & VINES LLC,121.08,112.83,7860.62
AMERICAN FIDELITY TRADING,119.55,123.0,420.92
DOGFISH HEAD DISTILLERY LLC,118.39,95.5,34.0
LEGACY PARTNERS DISTRIBUTION LLC,117.75,38.32,4.0
MOUNT DEFIANCE CIDERY & DISTILLERY LLC,113.17,166.83,11.0
SCHUG CARNEROS ESTATE WINERY,105.27,73.92,321.0
ST RICE WINE INC,103.68,103.0,904.0
MCNEILL INDEPENDENT SPIRIT CREATORS LLC,102.78,170.82999999999998,0.0
CARROLL CREEK WHISKEY LLC,100.01,158.0,0.0
BINDING BRAUEREI USA INC,99.92999999999999,103.0,1165.58
TREANA WINERY LLC,97.3,56.92,198.0
OSLO ENTERPRISE,96.78999999999999,95.33,755.83
WASHBURN WINE CO,95.29,72.83,1366.33
FN CELLARS LLC,94.94,102.0,102.67
OREGON BREWING COMPANY,91.49,88.0,417.5
ROBERT GIRAUD,91.48,84.0,4.0
LYON DISTILLING COMPANY LLC,90.16,38.0,4.0
RUTHERFORD WINE COMPANY,85.67999999999999,75.91,1963.84
TESTA WINES OF THE WORLD LTD,84.88,38.34,508.83
SUGARLOAF MOUNTAIN SUNLIGHT VINEYARD LLC,83.38,23.92,12.0
SOVEREIGN BRANDS LLC,82.05,91.0,13.83
EVEREST SPIRITS LLC,80.47,66.41,0.0
ADAMBA IMPORTS INTL,78.86,88.32,2.0
BACKUP BEVERAGE,69.4,78.0,7092.14
CLASSIC WINE IMPORTS INC DBA VISION WINE,65.95,70.92,11.0
FIVE GRAPES LLC,57.05,51.92,742.67
AZABU DISTILLING CO LLC,56.02,136.0,0.0
INTERNATIONAL CELLARS LLC,55.31,65.42,1206.92
ROBERT OATLEY VINEYARDS INC,55.18,58.59,553.59
BOUTIQUE VINEYARDS LLC,55.12,18.509999999999998,177.92
BITTERMILK LLC,54.76,27.0,0.0
NOVELTY MD INC,53.25,52.0,3.0
VINTUS LLC,52.61,43.0,3.0
THE VINERY LLC,49.13,64.0,155.5
TI BEVERAGE GROUP LTD,48.59,25.009999999999998,95.83
THE SANDY BOTTOM ENTERPRISES LLC,47.1,62.0,0.0
"GF WINES, LLC DBA GARY FARRELL WINERY",46.04,36.84,25.0
DOMAINE SELECT WINE & SPIRITS LLC,45.07,20.0,42.92
SALVETO IMPORTS LLC,44.92,50.589999999999996,4096.6
GROTH VINEYARDS & WINERY,42.39,33.0,4.0
ST GEORGE SPIRITS INC,42.19,32.0,0.0
